epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.024,0.76461,2.31734,1.34603,0.52738,0.48278,0.35554,0.33603,0.45813,3.4246,1.0887,0.00017148,0.00017148,0.00017148
2,399.619,0.7093,1.5739,1.24701,0.65792,0.70696,0.76199,0.70456,0.56381,1.64662,1.15147,0.000350176,0.000350176,0.000350176
3,581.897,0.88435,1.56947,1.42782,0.7303,0.54611,0.72881,0.62499,0.6119,2.08563,1.2158,0.000521516,0.000521516,0.000521516
4,728.107,0.72493,1.37818,1.24824,0.45185,0.68357,0.58795,0.47276,0.7021,11.7003,1.31201,0.0006855,0.0006855,0.0006855
5,898.89,0.80685,1.16005,1.30502,0.65199,0.84167,0.77691,0.54523,1.00735,4.05575,1.57673,0.000842127,0.000842127,0.000842127
6,1068.97,0.76609,1.18114,1.24354,0.71123,0.69963,0.83639,0.62265,0.78043,2.72277,1.31101,0.000991397,0.000991397,0.000991397
7,1239.56,0.85932,1.29517,1.27971,0.52251,0.60704,0.67098,0.53842,1.03942,7.50685,1.61254,0.00113331,0.00113331,0.00113331
8,1410.11,0.82638,1.45937,1.32045,0.50127,0.537,0.58238,0.48116,1.13458,4.09263,1.73968,0.00123094,0.00123094,0.00123094
9,1578.29,0.85299,1.13082,1.29774,0.31445,0.80513,0.53079,0.39041,0.98938,9.50336,1.74261,0.00120265,0.00120265,0.00120265
10,1747.35,0.72799,1.03075,1.22739,0.41448,0.6359,0.50949,0.30108,1.18263,7.16751,1.81425,0.00117435,0.00117435,0.00117435
11,1916.37,0.84517,1.19655,1.33718,0.66875,0.70882,0.73068,0.46817,1.10035,2.54554,1.62701,0.00114606,0.00114606,0.00114606
12,2042.49,0.79644,1.1189,1.25746,0.77058,0.71458,0.78238,0.58953,0.93438,2.3824,1.50862,0.00111776,0.00111776,0.00111776
13,2137.69,0.80985,0.96664,1.27886,0.72976,0.64279,0.78271,0.59154,0.986,2.22997,1.50721,0.00108947,0.00108947,0.00108947
14,2231.59,0.88388,0.95099,1.40159,0.80717,0.53846,0.80325,0.56112,1.10729,2.79888,1.72179,0.00106118,0.00106118,0.00106118
15,2329.25,0.74401,0.88612,1.23611,0.80454,0.56646,0.71173,0.52319,1.03542,1.60987,1.68255,0.00103288,0.00103288,0.00103288
16,2427.02,0.84446,0.87981,1.33594,0.73061,0.75713,0.82695,0.64314,0.9198,1.41962,1.57834,0.00100459,0.00100459,0.00100459
17,2533.54,0.77806,0.95685,1.25085,0.8055,0.83077,0.87966,0.67777,0.90607,1.19262,1.43647,0.000976293,0.000976293,0.000976293
18,2646.45,0.74135,0.77757,1.21786,0.7724,0.87546,0.8953,0.7029,1.01585,1.11536,1.6615,0.000947999,0.000947999,0.000947999
19,2756.86,0.73342,0.78016,1.21947,0.86338,0.71945,0.89728,0.65124,0.99901,1.13728,1.52786,0.000919704,0.000919704,0.000919704
20,2870.75,0.78706,0.88334,1.33392,0.82972,0.6914,0.78407,0.66581,0.74185,1.34795,1.37817,0.00089141,0.00089141,0.00089141
21,2982.38,0.71758,0.94037,1.22096,0.85995,0.60295,0.77723,0.65997,0.75324,1.2649,1.36472,0.000863116,0.000863116,0.000863116
22,3094.89,0.70238,0.79606,1.20735,0.88003,0.77078,0.85223,0.75601,0.68572,0.98181,1.32727,0.000834822,0.000834822,0.000834822
23,3205.42,0.64205,0.73082,1.16589,0.90803,0.69084,0.79557,0.63737,0.76522,1.001,1.33773,0.000806528,0.000806528,0.000806528
24,3315.89,0.59902,0.69529,1.1145,0.84144,0.70989,0.78473,0.66681,0.80057,0.96828,1.43588,0.000778233,0.000778233,0.000778233
25,3425.72,0.66329,0.7699,1.15942,0.84482,0.71661,0.82932,0.7128,0.77338,0.8884,1.39511,0.000749939,0.000749939,0.000749939
26,3537.51,0.58837,0.62743,1.15667,0.81676,0.81915,0.83446,0.71195,0.71271,0.84701,1.32515,0.000721645,0.000721645,0.000721645
27,3644.51,0.78595,0.8224,1.30815,0.88818,0.79253,0.87682,0.74968,0.70726,0.82992,1.28871,0.000693351,0.000693351,0.000693351
28,3749.08,0.65029,0.64292,1.15281,0.86878,0.77949,0.84812,0.70965,0.7748,0.95473,1.40492,0.000665057,0.000665057,0.000665057
29,3855.05,0.65316,0.65103,1.18259,0.89153,0.74493,0.8643,0.66907,0.78936,0.9999,1.39405,0.000636762,0.000636762,0.000636762
30,3961.77,0.64492,0.74658,1.18929,0.67137,0.84359,0.83132,0.70323,0.73249,0.96384,1.34288,0.000608468,0.000608468,0.000608468
31,4066.84,0.63071,0.67623,1.16501,0.91457,0.74537,0.90776,0.77295,0.72584,0.81249,1.31825,0.000580174,0.000580174,0.000580174
32,4176.12,0.58669,0.59782,1.12065,0.75821,0.9011,0.9016,0.78505,0.66037,0.83202,1.22579,0.00055188,0.00055188,0.00055188
33,4282.72,0.55945,0.61295,1.09415,0.79197,0.85319,0.92366,0.82356,0.57338,0.80762,1.14384,0.000523586,0.000523586,0.000523586
34,4388.79,0.5666,0.57634,1.13954,0.86341,0.88773,0.9114,0.79753,0.58839,0.79058,1.15826,0.000495291,0.000495291,0.000495291
35,4495.15,0.61039,0.59481,1.15657,0.83711,0.88861,0.88766,0.81109,0.6418,0.81955,1.21254,0.000466997,0.000466997,0.000466997
36,4599.82,0.62127,0.59591,1.15202,0.90023,0.89744,0.8933,0.79375,0.67952,0.70577,1.29335,0.000438703,0.000438703,0.000438703
37,4704.32,0.49666,0.54691,1.09022,0.86309,0.88518,0.884,0.78261,0.66071,0.66809,1.27792,0.000410409,0.000410409,0.000410409
38,4809.55,0.52992,0.53313,1.09212,0.86884,0.89744,0.87965,0.79421,0.67341,0.74071,1.28875,0.000382115,0.000382115,0.000382115
39,4913.66,0.47535,0.62493,1.05262,0.87579,0.89744,0.87412,0.77428,0.69682,0.79315,1.32515,0.00035382,0.00035382,0.00035382
40,5019.02,0.52487,0.67465,1.1,0.90833,0.89744,0.88998,0.78618,0.64782,0.76993,1.27973,0.000325526,0.000325526,0.000325526
41,5124.29,0.61592,0.78107,1.28058,0.91773,0.89744,0.87546,0.76058,0.62971,0.68886,1.27722,0.000297232,0.000297232,0.000297232
42,5227.06,0.41228,0.49213,1.05933,0.91376,0.89409,0.8722,0.7457,0.6386,0.72816,1.27774,0.000268938,0.000268938,0.000268938
43,5330.85,0.48043,0.69853,1.04399,0.87019,0.89567,0.88094,0.76258,0.58262,0.7029,1.2112,0.000240644,0.000240644,0.000240644
44,5434.88,0.39531,0.48121,0.99766,0.85905,0.89145,0.85339,0.73917,0.53497,0.68457,1.17176,0.000212349,0.000212349,0.000212349
45,5539.21,0.34742,0.43226,0.98429,0.88499,0.85204,0.85567,0.74472,0.52319,0.68409,1.16816,0.000184055,0.000184055,0.000184055
46,5654.94,0.34786,0.41347,0.99685,0.8862,0.85559,0.86291,0.76121,0.58492,0.68339,1.21765,0.000155761,0.000155761,0.000155761
47,5760.07,0.32933,0.46069,0.9353,0.877,0.86621,0.8766,0.78826,0.5267,0.67606,1.16331,0.000127467,0.000127467,0.000127467
48,5866.31,0.40561,0.42346,1.0325,0.87525,0.87025,0.89089,0.79755,0.52142,0.67443,1.15704,9.91726e-05,9.91726e-05,9.91726e-05
49,5971.65,0.32005,0.37048,0.94077,0.86914,0.87288,0.89721,0.79902,0.51836,0.67362,1.15836,7.08784e-05,7.08784e-05,7.08784e-05
50,6075.91,0.31932,0.43473,0.98188,0.8673,0.88484,0.89864,0.79579,0.52871,0.68951,1.16134,4.25842e-05,4.25842e-05,4.25842e-05
